Cat,Size,Enrl,Title
97,0,2,Intermediate Algebra
102,35,25,Quantitative Reasoning
110,415,198,College Algebra
111,120,92,Trigonometry
112,919,704,Calculus 1
113,843,689,Calculus 2
116,424,277,Essentials of Calculus
118,510,175,Finite Mathematics
119,0,2,Introduction to Calculus
213,670,553,Elementary Linear Algebra
215,600,462,Computational Linear Algebra
290,180,127,Fundamentals of Mathematics
300,36,0,more Titles (flex title)
302,135,68,Math for Engr 1
303,165,109,Math for Engineering 2
314,371,275,Calculus of Several Variables
322,70,59,Algorithm Design & Opt 2
323,71,58,Algorithm Design & Opt 2 Lab
334,370,258,Ordinary Differential Equation
341,109,80,Theory of Analysis 1
342,35,29,Theory of Analysis 2
346,70,57,Mathematical Analysis 2
347,71,56,Mathematical Analysis 2 Lab
352,35,18,Intro to Complex Analysis
362,42,0,more Titles (flex title)
371,66,43,Abstract Algebra 1
372,30,21,Abstract Algebra 2
399R,10,1,Academic Internship
404,66,59,Model Uncertainty & Data 2
405,66,57,Model Uncertainty & Data 2 Lab
438,70,56,Model Dynamics & Control 2
439,66,56,Model Dynamics & Control 2 Lab
447,35,10,Intro Partial Differential Eqs
451,35,11,Introduction to Topology
487,40,12,Number Theory
495R,96,39,Readings in Math
511,20,6,Num Methods for Partial Diff
522,30,22,Methods of Applied Math 2
525,30,20,Network Theory
532,24,6,Complex Analysis
540,24,10,Linear Analysis
554,24,4,Foundations of Topology 2
572,24,5,Algebra 2
636,10,9,Advanced Probability 1
640,24,6,Nonlinear Analysis
677,24,6,Homological Algebra
682,24,4,Modular Forms
695R,48,5,Readings in Math
698R,24,0,Master's Project
699R,24,8,Master's Thesis
799R,24,6,Doctoral Dissertation
